key,service,layer_id,layer_name,kind,overlay_group,rule,notes
devicefarm.project,devicefarm,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
devicefarm.remote_access_session,devicefarm,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
devicefarm.run,devicefarm,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
devicefarm.test_grid_project,devicefarm,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
dms.replication_instance,dms,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
dms.replication_subnet_group,dms,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
docdb.db_cluster_snapshot,docdb,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
docdb.db_instance,docdb,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
docdb.db_subnet_group,docdb,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ds.directory,ds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ds.domain_controller,ds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ds.region,ds,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ec2.capacity_reservation,ec2,L5,workload,spatial,,has-zone,declares its own availability zone
ec2.carrier_gateway,ec2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ec2.classic_link_instance,ec2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ec2.client_vpn_endpoint,ec2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ec2.client_vpn_target_network_association,ec2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ec2.ec2_reserved,ec2,L5,workload,spatial,,has-zone,declares its own availability zone
ec2.host,ec2,L5,workload,spatial,,has-zone,declares its own availability zone
ec2.instance_connect_endpoint,ec2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ec2.local_gateway_route_table_vpc_association,ec2,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ecr.ecr_image,ecr,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ecs.ecs_container_instance,ecs,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ecs.service,ecs,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
ecs.task_set,ecs,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
efs.file_system,efs,L5,workload,spatial,,has-zone,declares its own availability zone
eks.cluster,eks,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
eks.nodegroup,eks,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
elasticache.cache_cluster,elasticache,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
elasticache.cache_snapshot,elasticache,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
elasticache.subnet_group,elasticache,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
elb.load_balancer,elb,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
elbv2.load_balancer,elbv2,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
elbv2.target_group,elbv2,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
emr.cluster,emr,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
emr.studio,emr,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
es.domain,es,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
es.elasticsearch_domain,es,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
es.elasticsearch_domain_config,es,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
es.vpc_endpoint,es,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
events.event_rule_target,events,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
firehose.delivery_stream,firehose,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
