key,service,icon_name,icon_class,icon_category,icon_file,match_level
sso-admin.account_assignments_for_principal,sso-admin,sso-admin,,,,none
sso-admin.application,sso-admin,sso-admin,,,,none
sso-admin.application_access_scope,sso-admin,sso-admin,,,,none
sso-admin.application_assignment,sso-admin,sso-admin,,,,none
sso-admin.application_assignment_configuration,sso-admin,sso-admin,,,,none
sso-admin.application_assignments_for_principal,sso-admin,sso-admin,,,,none
sso-admin.application_authentication_method,sso-admin,sso-admin,,,,none
sso-admin.application_grant,sso-admin,sso-admin,,,,none
sso-admin.application_provider,sso-admin,sso-admin,,,,none
sso-admin.customer_managed_policy_references_in_permission_set,sso-admin,sso-admin,,,,none
sso-admin.instance,sso-admin,sso-admin,,,,none
sso-admin.instance_access_control_attribute_configuration,sso-admin,sso-admin,,,,none
sso-admin.managed_policies_in_permission_set,sso-admin,sso-admin,,,,none
sso-admin.permission_set_provisioning_status,sso-admin,sso-admin,,,,none
sso-admin.permission_sets_provisioned_to_account,sso-admin,sso-admin,,,,none
sso-admin.permissions_boundary_for_permission_set,sso-admin,sso-admin,,,,none
sso-admin.trusted_token_issuer,sso-admin,sso-admin,,,,none
sso.instance,sso,sso,,,,none
sso.permission_set,sso,sso,,,,none
sts.access_key_info,sts,sts,,,,none
sts.caller_identity,sts,sts,,,,none
sts.federation_token,sts,sts,,,,none
sts.session_token,sts,sts,,,,none
supplychain.bill_of_materials_import_job,supplychain,supplychain,,,,none
supplychain.data_integration_flow,supplychain,supplychain,,,,none
supplychain.data_lake_dataset,supplychain,supplychain,,,,none
supplychain.data_lake_namespace,supplychain,supplychain,,,,none
supplychain.instance,supplychain,supplychain,,,,none
support-app.account_alias,support-app,support-app,,,,none
swf.activity_type,swf,swf,,,,none
swf.closed_workflow_execution,swf,swf,,,,none
swf.domain,swf,swf,,,,none
swf.open_workflow_execution,swf,swf,,,,none
swf.swf_domain,swf,swf,,,,none
