resource,service,id_field,name_field,id_prefix,arn_field,arn_type,arn_separator,global_resource,has_arn,strategy
ecs,ecs,clusterArn,clusterName,,clusterArn,cluster,/,false,true,field
ecs-container-instance,ecs,containerInstanceArn,containerInstanceArn,,containerInstanceArn,,/,false,true,field
ecs-service,ecs,serviceArn,serviceName,,serviceArn,,/,false,true,field
ecs-task,ecs,taskArn,taskArn,,taskArn,task,/,false,true,field
ecs-task-definition,ecs,taskDefinitionArn,taskDefinitionArn,,taskDefinitionArn,task-definition,/,false,true,field
efs,efs,FileSystemId,Name,,FileSystemArn,file-system,/,false,true,field
efs-mount-target,efs,MountTargetId,MountTargetId,,,,/,false,false,none
eks,eks,name,name,,arn,cluster,/,false,true,field
eks-nodegroup,eks,nodegroupArn,nodegroupName,,nodegroupArn,nodegroup,/,false,true,field
elastic-ip,ec2,AllocationId,PublicIp,eipalloc-,,elastic-ip,/,false,true,construct
elasticache-group,elasticache,ReplicationGroupId,ReplicationGroupId,,,replicationgroup,:,false,true,construct
elasticbeanstalk,elasticbeanstalk,ApplicationName,ApplicationName,,ApplicationArn,application,/,false,true,field
elasticbeanstalk-environment,elasticbeanstalk,EnvironmentName,EnvironmentName,,EnvironmentArn,environment,/,false,true,field
elasticsearch,es,DomainName,Name,,ARN,domain,/,false,true,field
elasticsearch-reserved,es,ReservedElasticsearchInstanceId,ReservedElasticsearchInstanceId,,,reserved-instances,/,false,true,construct
elb,elb,LoadBalancerName,DNSName,,,loadbalancer,/,false,true,construct
emr,emr,Id,Name,,,emr,/,false,true,construct
emr-security-configuration,emr,Name,Name,,,emr,/,false,true,construct
emr-serverless-app,emr-serverless,id,name,,arn,/applications,/,false,true,field
eni,ec2,NetworkInterfaceId,NetworkInterfaceId,eni-,,network-interface,/,false,true,construct
event-bus,events,Name,Name,,Arn,event-bus,/,false,true,field
event-rule,events,Name,Name,,,rule,/,false,true,construct
event-rule-target,events,Id,Id,,,event-rule-target,/,false,false,none
firehose,firehose,DeliveryStreamName,DeliveryStreamName,,,deliverystream,/,false,true,construct
firewall,network-firewall,FirewallName,FirewallName,,FirewallArn,firewall,/,false,true,field
fis-experiment,fis,id,id,,,experiment,/,false,true,construct
fis-template,fis,id,id,,,experiment-template,/,false,true,construct
flow-log,ec2,FlowLogId,FlowLogId,fl-,,vpc-flow-log,/,false,true,construct
fsx,fsx,FileSystemId,FileSystemId,,ResourceARN,,/,false,true,field
fsx-backup,fsx,BackupId,BackupId,,ResourceARN,,/,false,true,field
gamelift-build,gamelift,BuildId,Name,,,,/,false,false,none
gamelift-fleet,gamelift,FleetId,Name,,FleetArn,,/,false,true,field
glacier,glacier,VaultName,VaultName,,VaultARN,vaults,/,false,true,field
glue-catalog,glue,CatalogId,CatalogId,,,catalog,/,false,true,construct
glue-classifier,glue,Name,Name,,,classifier,/,false,true,construct
glue-connection,glue,Name,Name,,,connection,/,false,true,construct
glue-crawler,glue,Name,Name,,,crawler,/,false,true,construct
glue-database,glue,Name,Name,,,database,/,false,true,construct
glue-dev-endpoint,glue,EndpointName,EndpointName,,,devEndpoint,/,false,true,construct
glue-job,glue,Name,Name,,,job,/,false,true,construct
glue-ml-transform,glue,TransformId,Name,,,mlTransform,/,false,true,construct
glue-security-configuration,glue,Name,Name,,,securityConfiguration,/,false,true,construct
glue-table,glue,Name,Name,,,table,/,false,true,construct
glue-trigger,glue,Name,Name,,,trigger,/,false,true,construct
glue-workflow,glue,Name,Name,,,workflow,/,false,true,construct
graphql-api,appsync,apiId,name,,arn,apis,/,false,true,field
guardduty-finding,guardduty,AccountId,Description,,Arn,finding,/,false,true,field
