source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
lambda,VpcConfig.SubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.lambda.filters.subnet,false,
lambda,VpcConfig.VpcId,dotted,vpc,contained-in,c7n,high,aws.lambda.filters.vpc,false,"asff,doc"
launch-config,ImageId,scalar,ami,launched-from,asff,high,securityhub.GetFindings: 'Amazon Machine Image',true,doc
launch-config,BlockDeviceMappings[].Ebs.SnapshotId,list_dict,ebs-snapshot,created-from,asff,high,securityhub.GetFindings: 'volume to use',true,doc
launch-config,SecurityGroups.items.anyOf[0],dotted,security-group,protected-by,cfn,high,AWS::AutoScaling::LaunchConfiguration/properties/SecurityGroups/items/anyOf[0],true,
launch-config,SecurityGroups.items.anyOf[1],dotted,security-group,protected-by,cfn,high,AWS::AutoScaling::LaunchConfiguration/properties/SecurityGroups/items/anyOf[1],true,
log-group,kmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.log-group.filters.kms-key,false,
log-metric,logGroupName,scalar,log-group,references,doc,medium,logs.DescribeMetricFilters: 'log group',true,
message-broker,EncryptionOptions.KmsKeyId,dotted,kms-key,encrypted-by,c7n,high,aws.message-broker.filters.kms-key,false,
message-broker,SecurityGroups[],list_scalar,security-group,protected-by,c7n,high,aws.message-broker.filters.security-group,false,
message-broker,SubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.message-broker.filters.subnet,false,
nat-gateway,SubnetId,scalar,subnet,contained-in,hand,high,hand-authored from API response shape,true,doc
nat-gateway,VpcId,scalar,vpc,contained-in,doc,medium,ec2.DescribeNatGateways: 'VPC in which the NAT gateway is located',true,
network-acl,Associations[].SubnetId,list_dict,subnet,contained-in,c7n,high,aws.network-acl.filters.subnet,false,doc
network-acl,VpcId,scalar,vpc,contained-in,asff,high,securityhub.GetFindings: 'VPC for the network ACL',true,doc
peering-connection,AccepterVpcInfo.VpcId,dotted,vpc,contained-in,asff,high,securityhub.GetFindings: 'VPC',true,doc
peering-connection,RequesterVpcInfo.VpcId,dotted,vpc,contained-in,asff,high,securityhub.GetFindings: 'VPC',true,doc
rds,ActivityStreamKmsKeyId,scalar,kms-key,encrypted-by,doc,medium,rds.DescribeDBInstances: 'KMS key',true,
rds,KmsKeyId,scalar,kms-key,encrypted-by,hand,high,hand-authored from API response shape,true,"asff,doc"
rds,PerformanceInsightsKMSKeyId,scalar,kms-key,encrypted-by,doc,medium,rds.DescribeDBInstances: 'KMS key',true,
rds,DBSubnetGroup.DBSubnetGroupName,dotted,rds-subnet-group,references,doc,medium,rds.DescribeDBInstances: 'DB subnet group',true,
rds,DbSubnetGroup.DbSubnetGroupArn,dotted,rds-subnet-group,references,asff,medium,securityhub.GetFindings: 'subnet group',true,
rds,DbSubnetGroup.DbSubnetGroupName,dotted,rds-subnet-group,references,asff,medium,securityhub.GetFindings: 'subnet group',true,
rds,VpcSecurityGroups[].VpcSecurityGroupId,list_dict,security-group,protected-by,c7n,high,aws.rds.filters.security-group,false,"asff,doc"
rds,DBSubnetGroup.Subnets[].SubnetIdentifier,list_dict,subnet,contained-in,c7n,high,aws.rds.filters.subnet,false,doc
rds,DBSubnetGroup.VpcId,dotted,vpc,contained-in,c7n,high,aws.rds.filters.vpc,false,
rds,DbSubnetGroup.VpcId,dotted,vpc,contained-in,asff,medium,securityhub.GetFindings: 'subnet group',true,
rds-cluster,AssociatedRoles[].RoleArn,list_dict,iam-role,assumes,asff,medium,securityhub.GetFindings: 'IAM role',true,
rds-cluster,ActivityStreamKmsKeyId,scalar,kms-key,encrypted-by,doc,medium,rds.DescribeDBClusters: 'KMS key',true,
rds-cluster,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.rds-cluster.filters.kms-key,false,doc
rds-cluster,PerformanceInsightsKMSKeyId,scalar,kms-key,encrypted-by,doc,medium,rds.DescribeDBClusters: 'KMS key',true,
rds-cluster,VpcSecurityGroups[].VpcSecurityGroupId,list_dict,security-group,protected-by,c7n,high,aws.rds-cluster.filters.security-group,false,"asff,doc"
rds-cluster,,,subnet,contained-in,c7n,declared-no-path,aws.rds-cluster.filters.subnet,true,
rds-cluster-snapshot,KmsKeyId,scalar,kms-key,encrypted-by,doc,medium,rds.DescribeDBClusterSnapshots: 'encrypted DB cluster snapshot',true,
rds-proxy,VpcSecurityGroupIds[],list_scalar,security-group,protected-by,c7n,high,aws.rds-proxy.filters.security-group,false,
rds-proxy,VpcSubnetIds[],list_scalar,subnet,contained-in,c7n,high,aws.rds-proxy.filters.subnet,false,
rds-proxy,VpcId,scalar,vpc,contained-in,c7n,high,aws.rds-proxy.filters.vpc,false,doc
rds-snapshot,KmsKeyId,scalar,kms-key,encrypted-by,doc,medium,rds.DescribeDBSnapshots: 'encrypted DB snapshot',true,
rds-snapshot,DBInstanceIdentifier,scalar,rds,references,c7n,high,aws.rds-snapshot.filters.instance,false,
rds-subnet-group,Subnets[].SubnetIdentifier,list_dict,subnet,contained-in,doc,medium,rds.DescribeDBSubnetGroups: 'subnet',true,
redshift,IamRoles.items,dotted,iam-role,assumes,cfn,high,AWS::Redshift::Cluster/properties/IamRoles/items,true,
redshift,IamRoles[].IamRoleArn,list_dict,iam-role,assumes,asff,medium,securityhub.GetFindings: 'IAM role',true,
redshift,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.redshift.filters.kms-key,false,
redshift,KmsKeyId.anyOf[0],dotted,kms-key,encrypted-by,cfn,high,AWS::Redshift::Cluster/properties/KmsKeyId/anyOf[0],true,
